ID,Latitude,Longitude,X2018,X1980,pop_growth,pop_growth_rate,urban_cluster,multiGHS,Country.Co,Country.or,City.Code,Urban.Aggl,Continent,pop_mean,pop_sum,Area,plain_area,plain_perc,disc,alti,clim,prec,clco,biom,popd,hdev,pop_den
1001526_23179,37.6888,-97.3362,519.148,306.533,0.6936121070162103,1.8252950184637116,1,1,840,United States of America,23179,Wichita,"NA",13.41518530903243,296475.595,220623047,126687077.9,57.422,117.617,522,11,727,13,8,25.373,930,0.0013438106264573528
1003066_23070,37.6615,-120.9945,402.52,161.006,1.5000310547433013,3.9474501440613192,1,1,840,United States of America,23070,Modesto,"NA",22.23634332596983,324650.613,145749973.3,56469312.04,38.744,64.643,1437,12,789,4,5,47.344,951,0.002227448867738489
1005303_22693,37.5847,36.9264,520.148,175.805,1.958664429339325,5.15438007720875,1,1,792,Turkey,22693,Kahramanmaras,AS,73.33784288641263,557367.606,75869893.53,5473166.107,7.214,258.893,1009,8,642,12,12,94.485,767,0.007346360724489605
1005342_21511,37.5527,45.0761,762.575,205.423,2.712218203414418,7.137416324774786,1,1,364,Iran (Islamic Republic of),21511,Orumiyeh,AS,64.14237510456358,673494.939,104817076.7,103722410.7,98.956,12.017,1906,8,469,14,8,147.446,773,0.006425431429724275
1009136_205666,37.5195,111.1318,394.567,22.421,16.598099995539897,43.67921051457868,1,1,156,China,205666,Lvliang,AS,109.02870918410753,457920.579,41925861.89,8111928.735,19.348,6.148,1393,8,514,16,4,190.982,736,0.010922150633454754
1011971_23115,37.5432,-77.4382,1081.318,600.412,0.8009600074615429,2.1077894933198498,1,1,840,United States of America,23115,Richmond,"NA",16.118825139776327,267572.497,165712222.8,18186948.49,10.975,240.117,388,11,1084,6,4,56.413,948,0.0016146817203878576
1013240_23610,37.4533,118.5785,1204.88,198.103,5.0820886104703105,13.373917395974502,1,1,156,China,23610,Dongying,AS,38.4704371905562,553974.296,143745454.3,137760067.9,95.836,1.01,3,11,589,16,9,372.032,766,0.0038538561006864476
1013245_20497,37.4518,116.301,919.312,129.723,6.086730957501753,16.017713046057246,1,1,156,China,20497,Dezhou,AS,33.86723052260427,521555.35,153729370.1,153729370.1,100,0.113,16,11,540,16,4,564.351,760,0.003392685143123474
1017550_21632,37.4,140.3833,333.659,161.603,1.0646832051385182,2.8017979082592586,1,1,392,Japan,21632,Koriyama,AS,36.19843722822403,231669.998,63886547.09,22751291.71,35.612,1.964,332,10,1405,4,4,291.395,896,0.0036262720173878783
1017555_22562,37.3824,-5.9761,707.112,646.336,0.09403158728586981,0.2474515454891311,1,1,724,Spain,22562,Sevilla,EU,56.16397095331819,915472.727,162710571.6,91126379.7,56.005,189.948,208,12,605,16,12,129.081,853,0.00562638750511279
1017568_23583,37.381100000000004,118.0109,1000.419,39.155,24.550223470821095,64.60585123900287,1,1,156,China,23583,Binzhou,AS,55.400035079889925,570620.361,102817175,102817175,100,0.423,4,11,580,16,9,197.94,766,0.005549854496585809
1026065_23130,37.7599,-122.4374,3325.284,2656.368,0.2518160134439205,0.6626737195892646,2,1,840,United States of America,23130,San Francisco-Oakland,"NA",27.3720737698567,4743279.292,1730991149,66491306.85,3.841,0.006,321,11,563,4,12,545.897,951,0.002740210020565507
1035375_21758,37.5683,126.9778,9963.497,8244.352,0.20852396889409847,0.5487472865634171,11,1,410,Republic of Korea,21758,Seoul,AS,90.41159157608875,22521165.81,2488626078,317522829.8,12.759,492.406,446,10,1378,4,4,675.617,876,0.009049638275951554
1035375_21758,37.5683,126.9778,9963.497,8244.352,0.20852396889409847,0.5487472865634171,11,1,410,Republic of Korea,21758,Seoul,AS,90.41159157608884,22521165.81,2488626078,317522829.8,12.759,492.406,446,10,1378,4,4,675.617,876,0.009049638275951554
1040443_22647,37.0017,35.3289,1729.859,568.377,2.0435063347039026,5.377648249220797,1,1,792,Turkey,22647,Adana,AS,49.2759250016193,655369.803,132753374.6,43471363.38,32.746,126.839,1391,8,555,12,12,71.014,767,0.0049367468433454045
1042543_23839,36.9758,120.7136,380.2,91.243,3.1668949946845237,8.33393419653822,1,1,156,China,23839,Laiyang,AS,43.40279355568736,269097.32,61884429.17,26390620.82,42.645,15.732,121,11,724,16,4,400.599,766,0.004348384942854923
1049337_23838,36.8651,120.5238,468.453,31.216,14.006823423885185,36.86006164180312,1,1,156,China,23838,Laixi,AS,34.30566049170098,247000.756,71864083.71,5237900.92,7.289,24.939,70,11,701,16,4,468.996,766,0.003437054273129617
